"table_name","column_name","data_type","character_maximum_length","is_nullable","constraint_type","referenced_table","referenced_column"
"admin_notifications","id","integer",NULL,"NO","PRIMARY KEY","admin_notifications","id"
"admin_notifications","user_id","integer",NULL,"YES","FOREIGN KEY","users","id"
"admin_notifications","type","character varying",50,"NO",NULL,NULL,NULL
"admin_notifications","message","text",NULL,"NO",NULL,NULL,NULL
"admin_notifications","is_read","boolean",NULL,"YES",NULL,NULL,NULL
"admin_notifications","created_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"chat_admin_logs","id","integer",NULL,"NO","PRIMARY KEY","chat_admin_logs","id"
"chat_admin_logs","admin_id","integer",NULL,"NO","FOREIGN KEY","users","id"
"chat_admin_logs","action_type","character varying",50,"NO",NULL,NULL,NULL
"chat_admin_logs","entity_type","character varying",50,"NO",NULL,NULL,NULL
"chat_admin_logs","entity_id","integer",NULL,"NO",NULL,NULL,NULL
"chat_admin_logs","details","jsonb",NULL,"YES",NULL,NULL,NULL
"chat_admin_logs","created_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_fake_users","id","integer",NULL,"NO","PRIMARY KEY","chat_fake_users","id"
"chat_fake_users","username","character varying",50,"NO",NULL,NULL,NULL
"chat_fake_users","display_name","character varying",100,"YES",NULL,NULL,NULL
"chat_fake_users","avatar_url","character varying",255,"YES",NULL,NULL,NULL
"chat_fake_users","bio","text",NULL,"YES",NULL,NULL,NULL
"chat_fake_users","is_active","boolean",NULL,"YES",NULL,NULL,NULL
"chat_fake_users","created_by","integer",NULL,"YES","FOREIGN KEY","users","id"
"chat_fake_users","created_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_fake_users","updated_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_group_members","id","integer",NULL,"NO","PRIMARY KEY","chat_group_members","id"
"chat_group_members","group_id","integer",NULL,"NO","UNIQUE","chat_group_members","group_id"
"chat_group_members","group_id","integer",NULL,"NO","UNIQUE","chat_group_members","group_id"
"chat_group_members","group_id","integer",NULL,"NO","UNIQUE","chat_group_members","user_id"
"chat_group_members","group_id","integer",NULL,"NO","UNIQUE","chat_group_members","fake_user_id"
"chat_group_members","group_id","integer",NULL,"NO","FOREIGN KEY","chat_groups","id"
"chat_group_members","user_id","integer",NULL,"YES","UNIQUE","chat_group_members","user_id"
"chat_group_members","user_id","integer",NULL,"YES","UNIQUE","chat_group_members","group_id"
"chat_group_members","user_id","integer",NULL,"YES","FOREIGN KEY","users","id"
"chat_group_members","fake_user_id","integer",NULL,"YES","UNIQUE","chat_group_members","group_id"
"chat_group_members","fake_user_id","integer",NULL,"YES","UNIQUE","chat_group_members","fake_user_id"
"chat_group_members","fake_user_id","integer",NULL,"YES","FOREIGN KEY","chat_fake_users","id"
"chat_group_members","join_date","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_group_members","is_active","boolean",NULL,"YES",NULL,NULL,NULL
"chat_group_members","last_read_message_id","integer",NULL,"YES",NULL,NULL,NULL
"chat_group_members","last_read_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_groups","id","integer",NULL,"NO","PRIMARY KEY","chat_groups","id"
"chat_groups","name","character varying",100,"NO",NULL,NULL,NULL
"chat_groups","description","text",NULL,"YES",NULL,NULL,NULL
"chat_groups","group_type","character varying",20,"YES",NULL,NULL,NULL
"chat_groups","max_members","integer",NULL,"YES",NULL,NULL,NULL
"chat_groups","is_active","boolean",NULL,"YES",NULL,NULL,NULL
"chat_groups","created_by","integer",NULL,"YES","FOREIGN KEY","users","id"
"chat_groups","created_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_groups","updated_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_messages","id","integer",NULL,"NO","PRIMARY KEY","chat_messages","id"
"chat_messages","group_id","integer",NULL,"NO","FOREIGN KEY","chat_groups","id"
"chat_messages","user_id","integer",NULL,"YES","FOREIGN KEY","users","id"
"chat_messages","fake_user_id","integer",NULL,"YES","FOREIGN KEY","chat_fake_users","id"
"chat_messages","content","text",NULL,"NO",NULL,NULL,NULL
"chat_messages","media_url","character varying",255,"YES",NULL,NULL,NULL
"chat_messages","media_type","character varying",50,"YES",NULL,NULL,NULL
"chat_messages","is_pinned","boolean",NULL,"YES",NULL,NULL,NULL
"chat_messages","is_automated","boolean",NULL,"YES",NULL,NULL,NULL
"chat_messages","sent_by_admin","boolean",NULL,"YES",NULL,NULL,NULL
"chat_messages","admin_id","integer",NULL,"YES","FOREIGN KEY","users","id"
"chat_messages","parent_message_id","integer",NULL,"YES","FOREIGN KEY","chat_messages","id"
"chat_messages","created_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_messages","updated_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_scheduled_messages","id","integer",NULL,"NO","PRIMARY KEY","chat_scheduled_messages","id"
"chat_scheduled_messages","group_id","integer",NULL,"NO","FOREIGN KEY","chat_groups","id"
"chat_scheduled_messages","fake_user_id","integer",NULL,"NO","FOREIGN KEY","chat_fake_users","id"
"chat_scheduled_messages","content","text",NULL,"NO",NULL,NULL,NULL
"chat_scheduled_messages","media_url","character varying",255,"YES",NULL,NULL,NULL
"chat_scheduled_messages","media_type","character varying",50,"YES",NULL,NULL,NULL
"chat_scheduled_messages","scheduled_time","timestamp without time zone",NULL,"NO",NULL,NULL,NULL
"chat_scheduled_messages","is_recurring","boolean",NULL,"YES",NULL,NULL,NULL
"chat_scheduled_messages","recurrence_pattern","character varying",50,"YES",NULL,NULL,NULL
"chat_scheduled_messages","scheduled_by","integer",NULL,"NO","FOREIGN KEY","users","id"
"chat_scheduled_messages","is_sent","boolean",NULL,"YES",NULL,NULL,NULL
"chat_scheduled_messages","sent_message_id","integer",NULL,"YES","FOREIGN KEY","chat_messages","id"
"chat_scheduled_messages","created_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"chat_scheduled_messages","updated_at","timestamp without time zone",NULL,"YES",NULL,NULL,NULL
"conversations","id","uuid",NULL,"NO","PRIMARY KEY","conversations","id"
"conversations","name","character varying",255,"YES",NULL,NULL,NULL
"conversations","created_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"conversations","is_group","boolean",NULL,"YES",NULL,NULL,NULL
"conversations","last_message_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"general_notification_reads","id","integer",NULL,"NO","PRIMARY KEY","general_notification_reads","id"
"general_notification_reads","general_notification_id","integer",NULL,"NO","UNIQUE","general_notification_reads","general_notification_id"
"general_notification_reads","general_notification_id","integer",NULL,"NO","FOREIGN KEY","general_notifications","id"
"general_notification_reads","general_notification_id","integer",NULL,"NO","UNIQUE","general_notification_reads","user_id"
"general_notification_reads","user_id","integer",NULL,"NO","FOREIGN KEY","users","id"
"general_notification_reads","user_id","integer",NULL,"NO","UNIQUE","general_notification_reads","user_id"
"general_notification_reads","user_id","integer",NULL,"NO","UNIQUE","general_notification_reads","general_notification_id"
"general_notification_reads","read_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"general_notifications","id","integer",NULL,"NO","PRIMARY KEY","general_notifications","id"
"general_notifications","category_id","integer",NULL,"NO","FOREIGN KEY","notification_categories","id"
"general_notifications","title","character varying",200,"NO",NULL,NULL,NULL
"general_notifications","message","text",NULL,"NO",NULL,NULL,NULL
"general_notifications","image_url","character varying",500,"YES",NULL,NULL,NULL
"general_notifications","is_active","boolean",NULL,"YES",NULL,NULL,NULL
"general_notifications","priority","integer",NULL,"YES",NULL,NULL,NULL
"general_notifications","start_date","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"general_notifications","end_date","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"general_notifications","created_by","integer",NULL,"YES","FOREIGN KEY","users","id"
"general_notifications","created_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"general_notifications","updated_at","timestamp with time zone",NULL,"YES",NULL,NULL,NULL
"notification_categories","id","integer",NULL,"NO","PRIMARY KEY","notification_categories","id"
"notification_categories","name","character varying",100,"NO","UNIQUE","notification_categories","name"
"notification_categories","color_code","character varying",7,"NO",NULL,NULL,NULL
